0, Hierarchical neural model with attention mechanisms for the classification of social media text related to mental health., 2018, Julia Ive & George Gkotsis & Rina Dutta & Robert Stewart 0002 & Sumithra Velupillai, conf/acl-clpsych/IveGDSV18, https://doi.org/10.18653/v1/w18-0607
1, A computational approach for authorship attribution of literary texts using sintatic features., 2016, Paulo Varela & Edson J. R. Justino & Alceu S. Britto Jr. & Flávio Bortolozzi, conf/ijcnn/VarelaJBB16, https://doi.org/10.1109/IJCNN.2016.7727835
2, Selecting syntactic attributes for authorship attribution., 2011, Paulo Varela & Edson J. R. Justino & Luiz S. Oliveira, conf/ijcnn/VarelaJO11, https://doi.org/10.1109/IJCNN.2011.6033217
3, Accelerating pattern matching in neuromorphic text recognition system using Intel Xeon Phi coprocessor., 2014, Khadeer Ahmed & Qinru Qiu & Parth Malani & Mangesh Tamhankar, conf/ijcnn/AhmedQMT14, https://doi.org/10.1109/IJCNN.2014.6889777
4, Classifier comparison for MSER-based text classification in scene images., 2013, Khalid Iqbal & Xu-Cheng Yin & Xuwang Yin & Hazrat Ali & Hong-Wei Hao, conf/ijcnn/IqbalYYAH13, https://doi.org/10.1109/IJCNN.2013.6706978
5, Comparing textural features for music genre classification., 2012, Yandre M. G. Costa & Luiz S. Oliveira & Alessandro L. Koerich & Fabien Gouyon, conf/ijcnn/CostaOKG12, https://doi.org/10.1109/IJCNN.2012.6252626
6, A word distributed representation based framework for large-scale short text classification., 2015, Di Yao & Jingping Bi & Jian-Hui Huang & Jin Zhu, conf/ijcnn/YaoBHZ15, https://doi.org/10.1109/IJCNN.2015.7280513
7, A review of open-source machine learning algorithms for twitter text sentiment analysis and image classification., 2020, Conor Lynch & Christian O'Leary & Gary Smith & Rose Bain & Jacqueline Kehoe & Alex Vakaloudis & Richrd Linger, conf/ijcnn/LynchOSBKVL20, https://doi.org/10.1109/IJCNN48605.2020.9207544
8, Applying a Hopfield-style network to degraded text recognition., 1990, Arun Jagota, conf/ijcnn/Jagota90, https://doi.org/10.1109/IJCNN.1990.137539
9, Multi-scale local pattern co-occurrence matrix for textural image classification., 2012, Xiangping Sun & Jin Wang 0002 & Ronghua Chen & Mary Fenghua She & Lingxue Kong, conf/ijcnn/SunWCSK12, https://doi.org/10.1109/IJCNN.2012.6252374
10, Neural networks in off-line text recognition: a review., 1999, Jianchang Mao, conf/ijcnn/Mao99, https://doi.org/10.1109/IJCNN.1999.833552
11, Deep inverse regression with modified document probability for text classification., 2016, Ruoxu Ren & Li Ma & Kay Chen Tan, conf/ijcnn/RenMT16, https://doi.org/10.1109/IJCNN.2016.7727396
12, Knowledge-based document embedding for cross-domain text classification., 2017, Yiming Li & Baogang Wei & Liang Yao & Hui Chen & Zherong Li, conf/ijcnn/LiWYCL17, https://doi.org/10.1109/IJCNN.2017.7966016
13, Approaching authorship attribution as a multi-view supervised learning task., 2021, Luís Gonçalves & Renato Vimieiro, conf/ijcnn/GoncalvesV21, https://doi.org/10.1109/IJCNN52387.2021.9533360
14, A kernel-based feature weighting for text classification., 2009, Peter Wittek & Chew Lim Tan, conf/ijcnn/WittekT09, https://doi.org/10.1109/IJCNN.2009.5179022
15, Aggregating pixel-level prediction and cluster-level texton occurrence within superpixel voting for roadside vegetation classification., 2016, Ligang Zhang & Brijesh K. Verma & David R. B. Stockwell & Sujan Chowdhury, conf/ijcnn/ZhangVSC16a, https://doi.org/10.1109/IJCNN.2016.7727614
16, Classifiers based on Bernoulli mixture models for text mining and handwriting recognition tasks., 2008, Mehreen Saeed & Haroon Atique Babri, conf/ijcnn/SaeedB08, https://doi.org/10.1109/IJCNN.2008.4634097
17, Semantic representation in text classification using topic signature mapping., 2008, Palakorn Achananuparp & Xiaohua Zhou & Xiaohua Hu 0001 & Xiaodan Zhang, conf/ijcnn/AchananuparpZHZ08, https://doi.org/10.1109/IJCNN.2008.4633926
18, Tightly-coupled convolutional neural network with spatial-temporal memory for text classification., 2017, Shiyao Wang & Zhidong Deng, conf/ijcnn/WangD17, https://doi.org/10.1109/IJCNN.2017.7966143
19, Context dependent pattern recognition - A framework for hybrid architectures bridging chaotic neural networks based on Recursive Processing Elements and symbolic information., 2009, Emilio Del-Moral-Hernandez & Humberto Sandmann & Gleison Araujo, conf/ijcnn/Del-Moral-HernandezSA09, https://doi.org/10.1109/IJCNN.2009.5179061
20, Contextual stance classification of opinions: A step towards enthymeme reconstruction in online reviews., 2016, Pavithra Rajendran & Danushka Bollegala & Simon Parsons, conf/acl/RajendranBP16, https://doi.org/10.18653/v1/w16-2804
21, Towards segment-based recognition of argumentation structure in short texts., 2014, Andreas Peldszus, conf/acl/Peldszus14, https://doi.org/10.3115/v1/w14-2112
